,episode,value
0,0,-97.0
1,1,-95.0
2,2,-95.0
3,3,-93.0
4,4,-91.0
5,5,-97.0
6,6,-97.0
7,7,-97.0
8,8,-91.0
9,9,-93.0
10,10,-99.0
11,11,-97.0
12,12,-95.0
13,13,-97.0
14,14,-95.0
15,15,-99.0
16,16,-97.0
17,17,-99.0
18,18,-97.0
19,19,-97.0
20,20,-95.0
21,21,-93.0
22,22,-91.0
23,23,-97.0
24,24,-97.0
25,25,-93.0
26,26,-93.0
27,27,-93.0
28,28,-93.0
29,29,-93.0
30,30,-99.0
31,31,-89.0
32,32,-95.0
33,33,-97.0
34,34,-95.0
35,35,-95.0
36,36,-95.0
37,37,-93.0
38,38,-95.0
39,39,-93.0
40,40,-95.0
41,41,-99.0
42,42,-95.0
43,43,-99.0
44,44,-95.0
45,45,-93.0
46,46,-93.0
47,47,-97.0
48,48,-99.0
49,49,-95.0
50,50,-97.0
51,51,-97.0
52,52,-95.0
53,53,-95.0
54,54,-97.0
55,55,-95.0
56,56,-97.0
57,57,-93.0
58,58,-97.0
59,59,-97.0
60,60,-93.0
61,61,-95.0
62,62,-97.0
63,63,-95.0
64,64,-99.0
65,65,-99.0
66,66,-99.0
67,67,-93.0
68,68,-93.0
69,69,-91.0
70,70,-97.0
71,71,-95.0
72,72,-99.0
73,73,-99.0
74,74,-95.0
75,75,-99.0
76,76,-95.0
77,77,-95.0
78,78,-97.0
79,79,-97.0
80,80,-93.0
81,81,-97.0
82,82,-95.0
83,83,-93.0
84,84,-99.0
85,85,-93.0
86,86,-97.0
87,87,-91.0
88,88,-91.0
89,89,-93.0
90,90,-93.0
91,91,-95.0
92,92,-97.0
93,93,-99.0
94,94,-95.0
95,95,-87.0
96,96,-95.0
97,97,-93.0
98,98,-95.0
99,99,-95.0
